row_in_metadata,identifier,succeeded,message
168,swva_fchs_2019.021.005,True,Row 168: swva_fchs_2019.021.005 has been successfully imported. Succeeded: True
169,swva_fchs_2019.021.006,True,Row 169: swva_fchs_2019.021.006 has been successfully imported. Succeeded: True
170,swva_fchs_2020.006.001,True,Row 170: swva_fchs_2020.006.001 has been successfully imported. Succeeded: True
171,swva_fchs_2020.006.002,True,Row 171: swva_fchs_2020.006.002 has been successfully imported. Succeeded: True
172,swva_fchs_2020.006.003,True,Row 172: swva_fchs_2020.006.003 has been successfully imported. Succeeded: True
173,swva_fchs_2020.006.004,True,Row 173: swva_fchs_2020.006.004 has been successfully imported. Succeeded: True
174,swva_fchs_2020.006.005,True,Row 174: swva_fchs_2020.006.005 has been successfully imported. Succeeded: True
175,swva_fchs_2020.006.006,True,Row 175: swva_fchs_2020.006.006 has been successfully imported. Succeeded: True
176,swva_fchs_2020.006.007,True,Row 176: swva_fchs_2020.006.007 has been successfully imported. Succeeded: True
177,swva_fchs_2020.006.008,True,Row 177: swva_fchs_2020.006.008 has been successfully imported. Succeeded: True
178,swva_fchs_2020.006.009,True,Row 178: swva_fchs_2020.006.009 has been successfully imported. Succeeded: True
179,swva_fchs_2020.006.010,True,Row 179: swva_fchs_2020.006.010 has been successfully imported. Succeeded: True
180,swva_fchs_2020.006.011,True,Row 180: swva_fchs_2020.006.011 has been successfully imported. Succeeded: True
181,swva_fchs_2020.006.012,True,Row 181: swva_fchs_2020.006.012 has been successfully imported. Succeeded: True
182,swva_fchs_2020.006.013,True,Row 182: swva_fchs_2020.006.013 has been successfully imported. Succeeded: True
183,swva_fchs_2020.006.014,True,Row 183: swva_fchs_2020.006.014 has been successfully imported. Succeeded: True
184,swva_fchs_2020.006.015,True,Row 184: swva_fchs_2020.006.015 has been successfully imported. Succeeded: True
185,swva_fchs_2020.006.016,True,Row 185: swva_fchs_2020.006.016 has been successfully imported. Succeeded: True
186,swva_fchs_2020.006.017,True,Row 186: swva_fchs_2020.006.017 has been successfully imported. Succeeded: True
187,swva_fchs_2020.006.018,True,Row 187: swva_fchs_2020.006.018 has been successfully imported. Succeeded: True
188,swva_fchs_2020.006.019,True,Row 188: swva_fchs_2020.006.019 has been successfully imported. Succeeded: True
189,swva_fchs_2020.006.020,True,Row 189: swva_fchs_2020.006.020 has been successfully imported. Succeeded: True
190,swva_fchs_2020.006.021,True,Row 190: swva_fchs_2020.006.021 has been successfully imported. Succeeded: True
191,swva_fchs_2020.006.022,True,Row 191: swva_fchs_2020.006.022 has been successfully imported. Succeeded: True
192,swva_fchs_2020.006.023,True,Row 192: swva_fchs_2020.006.023 has been successfully imported. Succeeded: True
193,swva_fchs_2020.006.024,True,Row 193: swva_fchs_2020.006.024 has been successfully imported. Succeeded: True
194,swva_fchs_2020.006.025,True,Row 194: swva_fchs_2020.006.025 has been successfully imported. Succeeded: True
195,swva_fchs_2020.006.026,True,Row 195: swva_fchs_2020.006.026 has been successfully imported. Succeeded: True
196,swva_fchs_2020.006.027,True,Row 196: swva_fchs_2020.006.027 has been successfully imported. Succeeded: True
197,swva_fchs_2020.006.028,True,Row 197: swva_fchs_2020.006.028 has been successfully imported. Succeeded: True
198,swva_fchs_2020.006.029,True,Row 198: swva_fchs_2020.006.029 has been successfully imported. Succeeded: True
199,swva_fchs_2020.006.030,True,Row 199: swva_fchs_2020.006.030 has been successfully imported. Succeeded: True
200,swva_fchs_2020.006.031,True,Row 200: swva_fchs_2020.006.031 has been successfully imported. Succeeded: True
201,swva_fchs_2020.006.032,True,Row 201: swva_fchs_2020.006.032 has been successfully imported. Succeeded: True
202,swva_fchs_2020.006.033,True,Row 202: swva_fchs_2020.006.033 has been successfully imported. Succeeded: True
203,swva_fchs_2020.006.034,True,Row 203: swva_fchs_2020.006.034 has been successfully imported. Succeeded: True
204,swva_fchs_2020.006.035,True,Row 204: swva_fchs_2020.006.035 has been successfully imported. Succeeded: True
205,swva_fchs_2020.006.036,True,Row 205: swva_fchs_2020.006.036 has been successfully imported. Succeeded: True
206,swva_fchs_2020.006.037,True,Row 206: swva_fchs_2020.006.037 has been successfully imported. Succeeded: True
207,swva_fchs_2020.006.038,True,Row 207: swva_fchs_2020.006.038 has been successfully imported. Succeeded: True
208,swva_fchs_2020.006.039,True,Row 208: swva_fchs_2020.006.039 has been successfully imported. Succeeded: True
209,swva_fchs_2020.006.040,True,Row 209: swva_fchs_2020.006.040 has been successfully imported. Succeeded: True
210,swva_fchs_2020.006.041,True,Row 210: swva_fchs_2020.006.041 has been successfully imported. Succeeded: True
211,swva_fchs_2020.006.042,True,Row 211: swva_fchs_2020.006.042 has been successfully imported. Succeeded: True
212,swva_fchs_2020.006.043,True,Row 212: swva_fchs_2020.006.043 has been successfully imported. Succeeded: True
213,swva_fchs_2020.006.044,True,Row 213: swva_fchs_2020.006.044 has been successfully imported. Succeeded: True
214,swva_fchs_2020.006.045,True,Row 214: swva_fchs_2020.006.045 has been successfully imported. Succeeded: True
215,swva_fchs_2020.006.046,True,Row 215: swva_fchs_2020.006.046 has been successfully imported. Succeeded: True
216,swva_fchs_2020.006.047,True,Row 216: swva_fchs_2020.006.047 has been successfully imported. Succeeded: True
217,swva_fchs_2020.006.048,True,Row 217: swva_fchs_2020.006.048 has been successfully imported. Succeeded: True
218,swva_fchs_2020.006.049,True,Row 218: swva_fchs_2020.006.049 has been successfully imported. Succeeded: True
219,swva_fchs_2020.006.050,True,Row 219: swva_fchs_2020.006.050 has been successfully imported. Succeeded: True
220,swva_fchs_2020.006.051,True,Row 220: swva_fchs_2020.006.051 has been successfully imported. Succeeded: True
221,swva_fchs_2020.006.052,True,Row 221: swva_fchs_2020.006.052 has been successfully imported. Succeeded: True
222,swva_fchs_2020.006.053,True,Row 222: swva_fchs_2020.006.053 has been successfully imported. Succeeded: True
223,swva_fchs_2020.006.054,True,Row 223: swva_fchs_2020.006.054 has been successfully imported. Succeeded: True
224,swva_fchs_2020.006.055,True,Row 224: swva_fchs_2020.006.055 has been successfully imported. Succeeded: True
225,swva_fchs_2020.006.056,True,Row 225: swva_fchs_2020.006.056 has been successfully imported. Succeeded: True
226,swva_fchs_2020.006.057,True,Row 226: swva_fchs_2020.006.057 has been successfully imported. Succeeded: True
227,swva_fchs_2020.006.058,True,Row 227: swva_fchs_2020.006.058 has been successfully imported. Succeeded: True
228,swva_fchs_2020.006.059,True,Row 228: swva_fchs_2020.006.059 has been successfully imported. Succeeded: True
229,swva_fchs_2020.006.060,True,Row 229: swva_fchs_2020.006.060 has been successfully imported. Succeeded: True
230,swva_fchs_2020.006.061,True,Row 230: swva_fchs_2020.006.061 has been successfully imported. Succeeded: True
231,swva_fchs_2020.006.062,True,Row 231: swva_fchs_2020.006.062 has been successfully imported. Succeeded: True
232,swva_fchs_2020.006.063,True,Row 232: swva_fchs_2020.006.063 has been successfully imported. Succeeded: True
233,swva_fchs_2020.006.065,True,Row 233: swva_fchs_2020.006.065 has been successfully imported. Succeeded: True
234,swva_fchs_2020.006.066,True,Row 234: swva_fchs_2020.006.066 has been successfully imported. Succeeded: True
235,swva_fchs_2020.006.067,True,Row 235: swva_fchs_2020.006.067 has been successfully imported. Succeeded: True
236,swva_fchs_2020.006.068,True,Row 236: swva_fchs_2020.006.068 has been successfully imported. Succeeded: True
237,swva_fchs_2020.006.069,True,Row 237: swva_fchs_2020.006.069 has been successfully imported. Succeeded: True
238,swva_fchs_2020.006.070,True,Row 238: swva_fchs_2020.006.070 has been successfully imported. Succeeded: True
239,swva_fchs_2020.006.071,True,Row 239: swva_fchs_2020.006.071 has been successfully imported. Succeeded: True
240,swva_fchs_2020.006.072,True,Row 240: swva_fchs_2020.006.072 has been successfully imported. Succeeded: True
241,swva_fchs_2020.006.073,True,Row 241: swva_fchs_2020.006.073 has been successfully imported. Succeeded: True
242,swva_fchs_2020.006.074,True,Row 242: swva_fchs_2020.006.074 has been successfully imported. Succeeded: True
243,swva_fchs_2020.006.075,True,Row 243: swva_fchs_2020.006.075 has been successfully imported. Succeeded: True
244,swva_fchs_2020.006.076,True,Row 244: swva_fchs_2020.006.076 has been successfully imported. Succeeded: True
245,swva_fchs_2020.006.077,True,Row 245: swva_fchs_2020.006.077 has been successfully imported. Succeeded: True
246,swva_fchs_2020.006.078,True,Row 246: swva_fchs_2020.006.078 has been successfully imported. Succeeded: True
247,swva_fchs_2020.006.079,True,Row 247: swva_fchs_2020.006.079 has been successfully imported. Succeeded: True
248,swva_fchs_2020.006.080,True,Row 248: swva_fchs_2020.006.080 has been successfully imported. Succeeded: True
249,swva_fchs_2020.006.081,True,Row 249: swva_fchs_2020.006.081 has been successfully imported. Succeeded: True
